Run:Fill,DeliveredLS,Delivered(/ub),SelectedLS,Recorded(/ub)
198230:2806,1392,102536462.226,"[1-33], [36-57], [60-235], [237-324], [326-388], [390-459], [462-625], [627-651], [653-805], [808-811], [814-948], [950-1090], [1093-1103], [1106-1332], [1335-1380]",99374963.9445
198249:2806,28,939952.599861,[1-7],356285.021826
198269:2807,206,26726204.2376,"[3-199], [201-201], [203-203]",25101179.1002
198271:2807,802,77013927.3508,"[1-91], [93-170], [173-299], [301-450], [453-513], [516-616], [619-628], [631-791], [793-797]",74551100.0706
198272:2807,659,42279205.295,"[1-185], [188-245], [248-314], [317-433], [436-444], [454-625]",40694655.6799
198346:2810,103,1828730.85754,[44-57],390930.547784
198372:2812,126,7948389.19294,[57-114],6710337.18598
198485:2816,262,26641618.0799,"[68-109], [112-134], [136-181], [184-239]",21096520.8635
198487:2816,1655,130636999.136,"[1-145], [147-514], [517-668], [671-733], [736-757], [760-852], [854-994], [997-1434], [1437-1612]",128087643.257
198522:2819,219,21268273.2025,"[65-144], [147-208]",17701125.1771
198941:2840,300,29077641.4232,"[102-220], [222-241], [243-249], [252-291]",22350168.9081
198954:2842,292,29697691.8195,"[108-156], [159-277]",19890896.0685
