Run:Fill,DeliveredLS,Delivered(/ub),SelectedLS,Recorded(/ub)
200473:2927,1352,104351604.285,"[96-157], [159-224], [226-304], [306-469], [472-524], [527-542], [545-619], [622-688], [691-730], [733-738], [740-1324]",99722320.5624
200491:2928,455,45970823.1719,"[87-107], [110-149], [152-157], [160-197], [199-237], [240-270], [273-273], [276-334], [336-360], [363-448]",39494532.3395
200515:2929,190,14325704.3868,[97-183],12043343.0231
200519:2929,778,77933908.2819,"[1-111], [114-126], [129-136], [138-224], [227-258], [261-350], [353-611], [613-757]",75545610.7188
200525:2932,1004,101972785.817,"[77-149], [151-164], [166-190], [193-276], [278-311], [314-464], [467-488], [491-674], [676-704], [707-755], [757-895], [898-937], [939-990]",95450090.3283
200532:2932,80,2923287.72807,[1-59],2897113.63568
200599:2934,143,10992558.0149,"[75-129], [132-137]",8547022.83058
200600:2934,1179,116411046.084,"[1-183], [186-299], [302-313], [316-324], [327-334], [336-397], [399-417], [420-526], [529-591], [594-609], [611-660], [663-823], [826-900], [902-943], [945-1139], [1141-1142]",109650433.84
200990:2976,153,12979085.4728,[75-143],8945229.52656
200991:2976,1065,101704053.196,"[1-42], [44-44], [47-80], [83-175], [178-181], [184-252], [255-632], [635-916], [918-1017], [1019-1049]",97287537.5734
200992:2976,690,36938370.4957,"[1-405], [408-434], [436-581]",35728703.6017
201062:2978,291,28827341.0936,[78-270],26195397.6965
201097:2980,520,54999915.2452,"[83-136], [138-245], [248-300], [303-370], [372-429], [432-502]",50512930.3953
201114:2981,23,3545004.53019,[1-14],1953368.80128
201115:2981,116,10577823.2897,[1-75],10171581.0692
201159:2983,220,23327518.7075,[70-211],19706709.2161
201164:2983,427,50874892.4275,"[1-8], [10-94], [96-125], [128-178], [180-198], [200-271], [274-416], [418-418]",47849630.0101
201168:2983,783,65917231.758,"[1-37], [39-275], [278-481], [483-558], [560-730]",60963793.7668
201173:2983,597,36351595.1462,"[1-194], [197-586]",35384212.1938
201174:2983,461,22214983.4711,"[1-214], [216-263], [265-339], [342-451]",21394221.1588
201193:2984,27,1893654.62279,[1-19],1288847.15413
201196:2984,844,49070667.3047,"[1-238], [241-278], [286-299], [302-338], [341-515], [518-720], [723-789], [803-841]",46830128.8598
201197:2984,75,3589782.65254,[1-23],1060805.40928
201202:2984,469,17617977.7831,[1-437],17210501.4899
201229:2987,102,11220752.1521,"[1-5], [8-26], [29-77]",10323705.3163
201278:2991,2224,176399131.273,"[62-163], [166-229], [232-256], [259-316], [318-595], [598-974], [976-1160], [1163-1304], [1306-1793], [1796-1802], [1805-1906], [1909-1929], [1932-2174]",169850786.266
201554:2995,192,10533245.8701,"[70-86], [88-114], [116-127]",8007951.18074
201602:2996,655,71680466.6609,"[76-81], [83-194], [196-494], [496-614], [617-639]",67951223.3719
201611:2997,211,20297619.2014,"[87-145], [149-182], [184-186]",13952292.4507
201613:2997,680,76846324.5192,"[1-42], [44-49], [53-210], [213-215], [218-225], [228-659]",74520152.8661
201624:2998,278,33798010.1204,"[83-92], [95-240], [270-270]",23801923.7219
201625:2998,987,101414725.254,"[211-312], [315-348], [351-416], [418-588], [591-671], [673-758], [760-791], [793-952]",71718674.8741
201678:3002,131,9105582.19587,[1-120],8274352.84147
